"","uID","uLoc","rep","year","height","height_prev","X","Y"
"3","5156:2","5156:2",0,2004,16,18,78.33,-155.4
"4","5156:2","5156:2",1,2003,18,3,78.33,-155.4
"6","5156:3","5156:3",1,2004,23,9,77.05,-155.61
"7","5156:3","5156:3",0,2003,9,3,77.05,-155.61
"9","5156:4","5156:4",1,2004,20,22,77.02,-155.52
"10","5156:4","5156:4",1,2003,22,3,77.02,-155.52
"12","5156:5","5156:5",1,2004,26,25,76.87,-155.47
"13","5156:5","5156:5",1,2003,25,4,76.87,-155.47
"15","5156:6","5156:6",0,2004,16,8,76.52,-156.44
"16","5156:6","5156:6",0,2003,8,2,76.52,-156.44
"18","5156:7","5156:7",1,2004,28,12,76.92,-155.38
"19","5156:7","5156:7",0,2003,12,2,76.92,-155.38
"21","5156:8","5156:8",1,2004,32,30,76.77,-156.25
"22","5156:8","5156:8",1,2003,30,4,76.77,-156.25
"24","5156:9","5156:9",1,2004,6,26,76.63,-156.27
"25","5156:9","5156:9",1,2003,26,4,76.63,-156.27
"27","5156:10","5156:10",1,2004,34,25,76.4,-156.41
"28","5156:10","5156:10",1,2003,25,5,76.4,-156.41
"30","5156:11","5156:11",1,2004,31,26,76.4,-155.87
"31","5156:11","5156:11",1,2003,26,4,76.4,-155.87
"33","5156:12","5156:12",1,2004,29,24,76.42,-155.75
"34","5156:12","5156:12",1,2003,24,4,76.42,-155.75
"36","5156:13","5156:13",1,2004,24,12,76.49,-155.75
"37","5156:13","5156:13",0,2003,12,2,76.49,-155.75
"39","5156:14","5156:14",1,2004,24,13,76.52,-155.7
"40","5156:14","5156:14",1,2003,13,5,76.52,-155.7
"42","5156:15","5156:15",1,2004,36,18,76.28,-156.45
"43","5156:15","5156:15",1,2003,18,3,76.28,-156.45
"45","5156:16","5156:16",1,2004,35,29,76.36,-156.08
"46","5156:16","5156:16",1,2003,29,6,76.36,-156.08
"48","5156:17","5156:17",1,2004,32,14,76.69,-155.95
"49","5156:17","5156:17",1,2003,14,1,76.69,-155.95
"51","5156:18","5156:18",1,2004,40,25,75.95,-156.27
"52","5156:18","5156:18",1,2003,25,4,75.95,-156.27
"54","5156:19","5156:19",1,2004,25,16,75.99,-156.24
"55","5156:19","5156:19",0,2003,16,2,75.99,-156.24
"57","5156:20","5156:20",1,2004,38,25,75.73,-156.18
"58","5156:20","5156:20",1,2003,25,2,75.73,-156.18
"60","5156:21","5156:21",1,2004,28,19,76.27,-156.01
"61","5156:21","5156:21",1,2003,19,2,76.27,-156.01
"63","5156:22","5156:22",1,2004,35,13,76.41,-155.68
"64","5156:22","5156:22",1,2003,13,2,76.41,-155.68
"68","5156:24","5156:24",1,2004,29,21,76.24,-155.43
"69","5156:24","5156:24",1,2003,21,2,76.24,-155.43
"71","5156:25","5156:25",1,2004,33,25,76.37,-155.34
"72","5156:25","5156:25",1,2003,25,2,76.37,-155.34
"74","5156:26","5156:26",1,2004,25,7,76.39,-155.1
"75","5156:26","5156:26",0,2003,7,3,76.39,-155.1
"77","5156:27","5156:27",1,2004,26,25,75.52,-154.43
"78","5156:27","5156:27",1,2003,25,4,75.52,-154.43
"88","5156:28.32","5156:28",1,2004,35,6,77.44,-154.07
"89","5156:28.32","5156:28",0,2003,6,2,77.44,-154.07
"91","5156:28.33","5156:28",0,2004,17,11,77.44,-154.07
"92","5156:28.33","5156:28",0,2003,11,2,77.44,-154.07
"94","5156:29","5156:29",1,2004,19,8,77.29,-153.87
"95","5156:29","5156:29",0,2003,8,2,77.29,-153.87
"97","5161:30","5161:30",1,2004,30,30,103.79,-138.3
"98","5161:30","5161:30",1,2003,30,5,103.79,-138.3
"100","5161:31","5161:31",1,2004,52,43,104.21,-138.69
"101","5161:31","5161:31",1,2003,43,19,104.21,-138.69
"103","5161:32","5161:32",1,2004,45,25,104.08,-138.82
"104","5161:32","5161:32",1,2003,25,4,104.08,-138.82
"106","5161:33","5161:33",1,2004,35,35,104.01,-138.88
