"","uID","uLoc","rep","year","height","X","Y","year_num","gapID_num","height_mod"
"2","5152:1","5152:1",0,2002,4,86.55,-163.65,1,NA,-20.8248351234219
"3","5156:2","5156:2",0,2004,16,78.33,-155.4,3,NA,-8.8248351234219
"4","5156:2","5156:2",1,2003,18,78.33,-155.4,2,NA,-6.8248351234219
"5","5156:2","5156:2",0,2002,3,78.33,-155.4,1,NA,-21.8248351234219
"6","5156:3","5156:3",1,2004,23,77.05,-155.61,3,NA,-1.8248351234219
"7","5156:3","5156:3",0,2003,9,77.05,-155.61,2,NA,-15.8248351234219
"8","5156:3","5156:3",0,2002,3,77.05,-155.61,1,NA,-21.8248351234219
"9","5156:4","5156:4",1,2004,20,77.02,-155.52,3,NA,-4.8248351234219
"10","5156:4","5156:4",1,2003,22,77.02,-155.52,2,NA,-2.8248351234219
"11","5156:4","5156:4",0,2002,3,77.02,-155.52,1,NA,-21.8248351234219
"12","5156:5","5156:5",1,2004,26,76.87,-155.47,3,NA,1.1751648765781
"13","5156:5","5156:5",1,2003,25,76.87,-155.47,2,NA,0.175164876578105
"14","5156:5","5156:5",0,2002,4,76.87,-155.47,1,NA,-20.8248351234219
"15","5156:6","5156:6",0,2004,16,76.52,-156.44,3,NA,-8.8248351234219
"16","5156:6","5156:6",0,2003,8,76.52,-156.44,2,NA,-16.8248351234219
"17","5156:6","5156:6",0,2002,2,76.52,-156.44,1,NA,-22.8248351234219
"18","5156:7","5156:7",1,2004,28,76.92,-155.38,3,NA,3.1751648765781
"19","5156:7","5156:7",0,2003,12,76.92,-155.38,2,NA,-12.8248351234219
"20","5156:7","5156:7",0,2002,2,76.92,-155.38,1,NA,-22.8248351234219
"21","5156:8","5156:8",1,2004,32,76.77,-156.25,3,NA,7.1751648765781
"22","5156:8","5156:8",1,2003,30,76.77,-156.25,2,NA,5.1751648765781
"23","5156:8","5156:8",0,2002,4,76.77,-156.25,1,NA,-20.8248351234219
"24","5156:9","5156:9",1,2004,6,76.63,-156.27,3,NA,-18.8248351234219
"25","5156:9","5156:9",1,2003,26,76.63,-156.27,2,NA,1.1751648765781
"26","5156:9","5156:9",0,2002,4,76.63,-156.27,1,NA,-20.8248351234219
"27","5156:10","5156:10",1,2004,34,76.4,-156.41,3,NA,9.1751648765781
"28","5156:10","5156:10",1,2003,25,76.4,-156.41,2,NA,0.175164876578105
"29","5156:10","5156:10",0,2002,5,76.4,-156.41,1,NA,-19.8248351234219
"30","5156:11","5156:11",1,2004,31,76.4,-155.87,3,NA,6.1751648765781
"31","5156:11","5156:11",1,2003,26,76.4,-155.87,2,NA,1.1751648765781
"32","5156:11","5156:11",0,2002,4,76.4,-155.87,1,NA,-20.8248351234219
"33","5156:12","5156:12",1,2004,29,76.42,-155.75,3,NA,4.1751648765781
"34","5156:12","5156:12",1,2003,24,76.42,-155.75,2,NA,-0.824835123421895
"35","5156:12","5156:12",0,2002,4,76.42,-155.75,1,NA,-20.8248351234219
"36","5156:13","5156:13",1,2004,24,76.49,-155.75,3,NA,-0.824835123421895
"37","5156:13","5156:13",0,2003,12,76.49,-155.75,2,NA,-12.8248351234219
"38","5156:13","5156:13",0,2002,2,76.49,-155.75,1,NA,-22.8248351234219
"39","5156:14","5156:14",1,2004,24,76.52,-155.7,3,NA,-0.824835123421895
"40","5156:14","5156:14",1,2003,13,76.52,-155.7,2,NA,-11.8248351234219
"41","5156:14","5156:14",0,2002,5,76.52,-155.7,1,NA,-19.8248351234219
"42","5156:15","5156:15",1,2004,36,76.28,-156.45,3,NA,11.1751648765781
"43","5156:15","5156:15",1,2003,18,76.28,-156.45,2,NA,-6.8248351234219
"44","5156:15","5156:15",0,2002,3,76.28,-156.45,1,NA,-21.8248351234219
"45","5156:16","5156:16",1,2004,35,76.36,-156.08,3,NA,10.1751648765781
"46","5156:16","5156:16",1,2003,29,76.36,-156.08,2,NA,4.1751648765781
"47","5156:16","5156:16",0,2002,6,76.36,-156.08,1,NA,-18.8248351234219
"48","5156:17","5156:17",1,2004,32,76.69,-155.95,3,NA,7.1751648765781
"49","5156:17","5156:17",1,2003,14,76.69,-155.95,2,NA,-10.8248351234219
"50","5156:17","5156:17",0,2002,1,76.69,-155.95,1,NA,-23.8248351234219
"51","5156:18","5156:18",1,2004,40,75.95,-156.27,3,NA,15.1751648765781
"52","5156:18","5156:18",1,2003,25,75.95,-156.27,2,NA,0.175164876578105
"53","5156:18","5156:18",0,2002,4,75.95,-156.27,1,NA,-20.8248351234219
"54","5156:19","5156:19",1,2004,25,75.99,-156.24,3,NA,0.175164876578105
"55","5156:19","5156:19",0,2003,16,75.99,-156.24,2,NA,-8.8248351234219
